train_loss_step,train_is_next_axx_step,train_altered_acc_step,epoch,step,val_loss_step,val_is_next_axx_step,val_altered_acc_step,val_loss_epoch,val_is_next_axx_epoch,val_altered_acc_epoch,train_loss_epoch,train_is_next_axx_epoch,train_altered_acc_epoch,test_loss_step,test_is_next_axx_step,test_altered_acc_step,test_loss_epoch,test_is_next_axx_epoch,test_altered_acc_epoch
,,,,198,1.7309582233428955,25.0,82.2998046875,,,,,,,,,,,,
,,,,199,1.706503987312317,25.0,89.0380859375,,,,,,,,,,,,
,,,,200,1.2582716941833496,62.5,75.1220703125,,,,,,,,,,,,
,,,,201,1.5584194660186768,37.5,59.3505859375,,,,,,,,,,,,
,,,,202,1.7089871168136597,25.0,63.7939453125,,,,,,,,,,,,
,,,,203,1.5668275356292725,37.5,88.720703125,,,,,,,,,,,,
,,,,204,1.121579885482788,75.0,87.4267578125,,,,,,,,,,,,
,,,,205,1.4005597829818726,50.0,93.8720703125,,,,,,,,,,,,
,,,,206,1.08070707321167,75.0,93.6279296875,,,,,,,,,,,,
,,,,207,1.0812969207763672,75.0,86.767578125,,,,,,,,,,,,
,,,,208,1.0931806564331055,75.0,75.7080078125,,,,,,,,,,,,
,,,,209,1.1086714267730713,75.0,65.7958984375,,,,,,,,,,,,
,,,,210,1.3988871574401855,50.0,86.767578125,,,,,,,,,,,,
,,,,211,1.588157057762146,37.5,64.0380859375,,,,,,,,,,,,
,,,,212,1.4117388725280762,50.0,70.8984375,,,,,,,,,,,,
,,,,213,1.0946321487426758,75.0,71.1669921875,,,,,,,,,,,,
,,,,214,1.5946292877197266,37.5,62.40234375,,,,,,,,,,,,
,,,,215,1.4125783443450928,50.0,84.228515625,,,,,,,,,,,,
,,,,216,1.4098906517028809,50.0,80.5908203125,,,,,,,,,,,,
,,,,217,1.7089837789535522,25.0,80.3466796875,,,,,,,,,,,,
,,,,218,1.2463635206222534,62.5,90.13671875,,,,,,,,,,,,
,,,,219,1.09843111038208,75.0,89.8681640625,,,,,,,,,,,,
,,,,220,1.4078028202056885,50.0,91.2109375,,,,,,,,,,,,
,,,,221,1.267785668373108,62.5,95.654296875,,,,,,,,,,,,
,,,,222,1.1236140727996826,75.0,64.6240234375,,,,,,,,,,,,
,,,,223,1.0947386026382446,75.0,70.1416015625,,,,,,,,,,,,
,,,,224,1.5660039186477661,37.5,92.333984375,,,,,,,,,,,,
,,,,225,1.867687463760376,12.5,86.42578125,,,,,,,,,,,,
,,,,226,1.4133152961730957,50.0,70.7275390625,,,,,,,,,,,,
,,,,227,1.7145553827285767,25.0,76.5380859375,,,,,,,,,,,,
,,,,228,1.0976247787475586,75.0,79.296875,,,,,,,,,,,,
,,,,229,1.2664718627929688,62.5,78.4423828125,,,,,,,,,,,,
,,,,230,1.2608699798583984,62.5,69.921875,,,,,,,,,,,,
,,,,231,1.2649309635162354,62.5,74.4140625,,,,,,,,,,,,
,,,,232,1.2426989078521729,62.5,83.203125,,,,,,,,,,,,
,,,,233,1.7012745141983032,25.0,72.802734375,,,,,,,,,,,,
,,,,234,1.2481759786605835,62.5,73.6083984375,,,,,,,,,,,,
,,,,235,1.0861350297927856,75.0,80.615234375,,,,,,,,,,,,
,,,,236,1.2626173496246338,62.5,72.0947265625,,,,,,,,,,,,
